,user_name,rating
0,홍정범,4
1,좋아좋아,2
2,티프몽,1
3,TRACY HER,1
4,배이하,1
5,如月華,1
6,이보미,1
7,김맹,1
8,Yu Mison,5
9,Joey Joy,3
10,Google 사용자,2
11,Google 사용자,1
12,Google 사용자,1
13,백유진,1
14,김미라,3
15,Google 사용자,5
16,Google 사용자,4
17,Google 사용자,1
18,김경수,3
19,Google 사용자,4
20,Google 사용자,2
21,Google 사용자,5
22,Google 사용자,5
23,Yeeun Hong,4
24,Google 사용자,2
25,김요일,1
26,Lamartine,4
27,Google 사용자,5
28,Google 사용자,4
29,Google 사용자,5
30,Google 사용자,3
31,Google 사용자,4
32,라니,1
33,Google 사용자,1
34,Google 사용자,5
35,Google 사용자,3
36,Google 사용자,4
37,질주본능,1
38,네오TV,3
39,Google 사용자,5
40,Google 사용자,5
41,Google 사용자,2
42,Google 사용자,5
43,Google 사용자,5
44,Google 사용자,4
45,Google 사용자,1
46,b100min블루민 (民),1
47,Sungjin Kim,3
48,Google 사용자,3
49,물망초,1
50,Google 사용자,4
51,Ann king,1
52,Google 사용자,4
53,gunu lee,1
54,Google 사용자,4
55,은아,1
56,Google 사용자,1
57,Google 사용자,3
58,Google 사용자,4
59,임서연,3
60,Google 사용자,5
61,Google 사용자,4
62,nbing,3
63,Google 사용자,5
64,Peter Park,1
65,Da Hae Jeong,2
66,Google 사용자,5
67,Google 사용자,3
68,Google 사용자,5
69,윤송화,1
70,미소,3
71,최규광,1
72,강선주,3
73,Google 사용자,5
74,유진,5
75,Google 사용자,1
76,민또,1
77,김그맨,1
78,Google 사용자,3
79,hoo yoo,2
80,이상국,4
81,Google 사용자,4
82,Google 사용자,5
83,Google 사용자,4
84,Google 사용자,1
85,Google 사용자,4
86,forty eight,1
87,Google 사용자,2
88,가나다,3
89,Google 사용자,5
90,다랑김선생 (tunalover),2
91,n a,2
92,Google 사용자,1
93,Hyemi Hyun,1
94,Haejin Yang,4
95,Google 사용자,4
96,어두운 조명,3
97,Google 사용자,5
98,min,4
99,Google 사용자,5
100,Google 사용자,4
101,Google 사용자,5
102,윤선영,5
103,124 421,1
104,Google 사용자,5
105,Google 사용자,4
106,ayoung jung,1
107,JI YONG CHOI,1
108,권동현,1
109,김재환,2
110,Google 사용자,2
111,Google 사용자,2
112,Google 사용자,5
113,Google 사용자,4
114,-,1
115,Google 사용자,2
116,Google 사용자,2
117,유충근,3
118,Google 사용자,4
119,율쓰,3
120,aegh sef,5
121,김태,3
122,박대원,4
123,오금철,1
124,Guinness John,1
125,팔도,2
126,박청명,1
127,oh danee,4
128,나카에요,4
129,Inhyeonism,2
130,이해리,3
131,이서현,1
132,"G,S Lee (과잉대응)",5
133,맛탕,1
134,권은주,5
135,하늘,1
136,hwi ram,1
137,TAEGYUN KIM,2
138,성실,2
139,김혜주,1
140,R HEA,1
141,봉봉개굴,3
142,YU:Hn,3
143,hyunjin kim,1
144,히즈,5
145,김영준,1
146,이인자,1
147,이진우,5
148,Moonshine,2
149,윤영학,5
150,REi Smart,4
151,김강우,1
152,이슬,5
153,Oh Hyuk,1
154,唯我獨尊,1
155,lawbl p,1
156,한지훈,1
157,박규원,5
158,김민석,1
159,Cat Sky,1
